id,pool_id,dc_id,power,lifespan,quantity
sto-01,client_vm,dc-generic-glo,100,5,1
sto-02,client_vm,dc-generic-glo,200,5,1
sto-03,client_vm,dc-generic-glo,400,5,1
sto-11,client_compute,dc-generic-glo,100,5,1
sto-12,client_compute,dc-generic-glo,200,5,1
sto-13,client_compute,dc-generic-glo,400,5,1
sto-21,client_database,dc-generic-glo,100,5,1
sto-22,client_database,dc-generic-glo,200,5,1
sto-23,client_database,dc-generic-glo,400,5,1
sto-31,client_storage_space,dc-generic-glo,100,5,1
sto-32,client_storage_space,dc-generic-glo,200,5,1
sto-33,client_storage_space,dc-generic-glo,400,5,1
sto-41,client_paas,dc-generic-glo,100,5,1
sto-42,client_paas,dc-generic-glo,200,5,1
sto-43,client_paas,dc-generic-glo,400,5,1
mutualized-sto-01,mutualized,dc-generic-glo,100,5,1
mutualized-sto-02,mutualized,dc-generic-glo,200,5,1
mutualized-sto-03,mutualized,dc-generic-glo,300,5,1
